unix,date,open,high,low,close,Volume USDT
1761278400000,2025-10-24 04:00:00,110441.46000000,111522.30000000,110332.00000000,111054.61000000,300689589.96854450
1761264000000,2025-10-24 00:00:00,110078.19000000,110829.67000000,109983.93000000,110441.46000000,169931815.11104180
1761249600000,2025-10-23 20:00:00,110200.01000000,110200.01000000,109341.28000000,110078.18000000,192857124.28686880
1761235200000,2025-10-23 16:00:00,109908.29000000,111293.61000000,109647.34000000,110200.00000000,402236205.45681640
1761220800000,2025-10-23 12:00:00,109253.88000000,110109.99000000,108685.72000000,109908.28000000,468467126.05045160
1761206400000,2025-10-23 08:00:00,109269.90000000,109903.83000000,109100.40000000,109253.89000000,241264711.48125920
1761192000000,2025-10-23 04:00:00,108377.96000000,110298.29000000,108350.36000000,109269.90000000,362892986.84639030
1761177600000,2025-10-23 00:00:00,107567.45000000,108720.39000000,107500.00000000,108377.96000000,256864135.28960750
1761163200000,2025-10-22 20:00:00,107870.35000000,108069.93000000,106666.69000000,107567.44000000,421964601.70241430
1761148800000,2025-10-22 16:00:00,108416.50000000,108796.42000000,107463.29000000,107870.35000000,433349013.24843580
1761134400000,2025-10-22 12:00:00,107555.04000000,109163.88000000,107443.01000000,108416.50000000,857769493.46711660
1761120000000,2025-10-22 08:00:00,108321.64000000,108358.76000000,106708.18000000,107555.05000000,432338324.06202630
1761105600000,2025-10-22 04:00:00,108216.03000000,108638.99000000,107610.00000000,108321.63000000,419961683.11696630
1761091200000,2025-10-22 00:00:00,108297.66000000,108678.21000000,107841.20000000,108216.02000000,524908590.84702240
1761076800000,2025-10-21 20:00:00,111780.40000000,111801.41000000,108045.81000000,108297.67000000,676869335.73010330
1761062400000,2025-10-21 16:00:00,113422.60000000,114000.00000000,111324.29000000,111780.39000000,1207361848.57936080
1761048000000,2025-10-21 12:00:00,108580.00000000,113557.62000000,107922.06000000,113422.61000000,1110813673.19708970
1761033600000,2025-10-21 08:00:00,108086.38000000,108811.47000000,107484.22000000,108580.01000000,322984406.77116010
1761019200000,2025-10-21 04:00:00,109059.23000000,109059.23000000,107473.72000000,108086.37000000,532321148.44264440
1761004800000,2025-10-21 00:00:00,110532.09000000,110532.09000000,109052.09000000,109059.22000000,264127437.21169580
1760990400000,2025-10-20 20:00:00,110803.22000000,111272.00000000,110418.25000000,110532.09000000,151401848.82356160
1760976000000,2025-10-20 16:00:00,111144.55000000,111303.05000000,109855.83000000,110803.22000000,411207595.25859160
1760961600000,2025-10-20 12:00:00,111016.75000000,111705.56000000,110588.23000000,111144.55000000,334068083.14582060
1760947200000,2025-10-20 08:00:00,111169.91000000,111679.25000000,110608.27000000,111016.75000000,383080871.95537960
1760932800000,2025-10-20 04:00:00,110145.45000000,111445.67000000,109951.96000000,111169.92000000,439977425.89974130
1760918400000,2025-10-20 00:00:00,108642.77000000,110427.86000000,107402.52000000,110145.44000000,400176360.51037360
1760904000000,2025-10-19 20:00:00,108908.43000000,109370.99000000,108471.10000000,108642.78000000,223126160.62159090
1760889600000,2025-10-19 16:00:00,108486.71000000,109450.07000000,108240.00000000,108908.43000000,264893608.88442130
1760875200000,2025-10-19 12:00:00,107783.47000000,108621.68000000,107355.02000000,108486.70000000,392685804.18583840
1760860800000,2025-10-19 08:00:00,106786.00000000,108260.50000000,106103.36000000,107783.47000000,542791265.76612820
1760846400000,2025-10-19 04:00:00,107275.79000000,107290.00000000,106558.61000000,106786.00000000,133330673.61976110
1760832000000,2025-10-19 00:00:00,107185.00000000,107367.16000000,106734.17000000,107275.78000000,113246566.50249440
1760817600000,2025-10-18 20:00:00,107080.14000000,107339.03000000,106851.84000000,107185.01000000,86228950.14971530
1760803200000,2025-10-18 16:00:00,106948.75000000,107091.87000000,106484.00000000,107080.14000000,97309012.85446310
1760788800000,2025-10-18 12:00:00,107208.61000000,107300.00000000,106739.33000000,106948.75000000,152511346.81025600
1760774400000,2025-10-18 08:00:00,106665.01000000,107222.00000000,106605.93000000,107208.60000000,249659994.42995920
1760760000000,2025-10-18 04:00:00,107070.41000000,107499.00000000,106439.38000000,106665.00000000,318150467.67952250
1760745600000,2025-10-18 00:00:00,106431.68000000,107306.06000000,106322.20000000,107070.40000000,285143227.21919690
1760731200000,2025-10-17 20:00:00,106457.24000000,107440.02000000,106342.47000000,106431.68000000,193712364.36761810
1760716800000,2025-10-17 16:00:00,106803.52000000,107575.60000000,106071.42000000,106454.72000000,418155597.41056440
1760702400000,2025-10-17 12:00:00,105683.71000000,106852.14000000,104533.21000000,106803.53000000,828727762.14203950
1760688000000,2025-10-17 08:00:00,105633.75000000,106651.22000000,103528.23000000,105683.72000000,1461210664.78745070
1760673600000,2025-10-17 04:00:00,109176.74000000,109236.01000000,105542.09000000,105633.75000000,857923296.86673990
1760659200000,2025-10-17 00:00:00,108194.27000000,109240.00000000,107934.40000000,109176.74000000,262915949.64678930
1760644800000,2025-10-16 20:00:00,108197.67000000,108500.00000000,107427.00000000,108194.28000000,243449696.48813560
1760630400000,2025-10-16 16:00:00,108549.21000000,109254.00000000,107577.57000000,108197.66000000,893885761.44353560
1760616000000,2025-10-16 12:00:00,111404.73000000,111982.45000000,108361.69000000,108549.21000000,908795953.14954920
1760601600000,2025-10-16 08:00:00,110584.21000000,111728.70000000,109635.15000000,111404.72000000,585711124.99510880
1760587200000,2025-10-16 04:00:00,111329.48000000,111773.70000000,110553.19000000,110584.20000000,344138789.93560110
1760572800000,2025-10-16 00:00:00,110763.28000000,111867.17000000,110361.00000000,111329.48000000,301615168.74998910
1760558400000,2025-10-15 20:00:00,111271.73000000,111556.27000000,110500.00000000,110763.28000000,267529972.56295750
1760544000000,2025-10-15 16:00:00,110798.01000000,111557.70000000,110164.00000000,111271.73000000,367768608.86049960
1760529600000,2025-10-15 12:00:00,111905.72000000,112238.41000000,110400.00000000,110798.01000000,733692945.28886140
1760515200000,2025-10-15 08:00:00,112584.49000000,113520.88000000,111693.26000000,111905.73000000,416606520.08440720
1760500800000,2025-10-15 04:00:00,112024.30000000,112680.00000000,111746.76000000,112584.50000000,386508741.52025990
1760486400000,2025-10-15 00:00:00,113028.13000000,113612.35000000,111825.93000000,112024.29000000,397532853.03578300
1760472000000,2025-10-14 20:00:00,112613.69000000,113577.00000000,112230.46000000,113028.14000000,251187159.46983890
1760457600000,2025-10-14 16:00:00,112900.44000000,113544.53000000,111692.31000000,112613.70000000,838223618.24299450
1760443200000,2025-10-14 12:00:00,111313.98000000,112943.82000000,109866.00000000,112900.43000000,799750593.43009110
1760428800000,2025-10-14 08:00:00,111724.41000000,112140.00000000,110012.24000000,111313.98000000,587216179.59909420
1760414400000,2025-10-14 04:00:00,113500.00000000,113691.00000000,111355.01000000,111724.41000000,707088652.31309020
1760400000000,2025-10-14 00:00:00,115166.00000000,115409.96000000,113279.76000000,113500.00000000,394674575.75338980
1760385600000,2025-10-13 20:00:00,115792.84000000,115868.00000000,115005.44000000,115166.00000000,176565323.16221170
1760371200000,2025-10-13 16:00:00,114312.09000000,115891.30000000,114215.79000000,115792.84000000,387384812.75319190
1760356800000,2025-10-13 12:00:00,114180.00000000,115530.00000000,113800.01000000,114312.10000000,634545221.89615510
1760342400000,2025-10-13 08:00:00,115399.66000000,115438.17000000,113616.50000000,114180.00000000,523095735.56426370
1760328000000,2025-10-13 04:00:00,114821.13000000,115554.83000000,114398.24000000,115399.67000000,394916947.33842730
1760313600000,2025-10-13 00:00:00,114958.81000000,115963.81000000,114619.45000000,114821.12000000,475323620.27149950
1760299200000,2025-10-12 20:00:00,114342.28000000,115770.00000000,114217.75000000,114958.80000000,721674092.30976600
1760284800000,2025-10-12 16:00:00,113198.20000000,114700.00000000,113198.20000000,114342.28000000,756389128.24520870
1760270400000,2025-10-12 12:00:00,111848.35000000,113745.84000000,111177.75000000,113198.20000000,1014104335.29719340
1760256000000,2025-10-12 08:00:00,111525.19000000,112133.33000000,111139.87000000,111848.36000000,313927758.07705480
1760241600000,2025-10-12 04:00:00,110676.00000000,112125.51000000,110617.10000000,111525.20000000,304716749.81612510
1760227200000,2025-10-12 00:00:00,110644.40000000,111368.14000000,109565.06000000,110676.00000000,527734464.99480780
1760212800000,2025-10-11 20:00:00,111178.30000000,111368.29000000,109561.59000000,110644.40000000,444726272.53826970
1760198400000,2025-10-11 16:00:00,111793.21000000,112185.53000000,110865.82000000,111178.31000000,350434516.21946350
1760184000000,2025-10-11 12:00:00,112280.01000000,112500.00000000,111793.20000000,111793.20000000,412916020.17511150
1760169600000,2025-10-11 08:00:00,110384.60000000,112359.67000000,110162.23000000,112280.00000000,661351285.92256900
1760155200000,2025-10-11 04:00:00,112300.00000000,112991.16000000,110090.29000000,110384.61000000,797960337.70062370
1760140800000,2025-10-11 00:00:00,112774.49000000,113322.39000000,111019.43000000,112300.01000000,1293681040.67509890
1760126400000,2025-10-10 20:00:00,116661.50000000,117214.64000000,102000.00000000,112774.50000000,4666029292.50177920
1760112000000,2025-10-10 16:00:00,119018.99000000,119456.28000000,115952.47000000,116661.50000000,994807629.57088090
1760097600000,2025-10-10 12:00:00,121554.55000000,122550.00000000,118500.00000000,119018.98000000,934592515.31947690
1760083200000,2025-10-10 08:00:00,120932.05000000,121777.07000000,120916.44000000,121554.55000000,188695320.93428830
1760068800000,2025-10-10 04:00:00,121026.00000000,121754.34000000,120855.41000000,120932.05000000,311351111.01304550
1760054400000,2025-10-10 00:00:00,121662.41000000,121874.13000000,120900.00000000,121026.01000000,254275035.70168650
1760040000000,2025-10-09 20:00:00,120951.72000000,121900.00000000,120838.00000000,121662.40000000,286326781.12996840
1760025600000,2025-10-09 16:00:00,121147.15000000,121481.90000000,119651.47000000,120951.72000000,744428050.47005680
1760011200000,2025-10-09 12:00:00,122737.56000000,123762.94000000,120673.99000000,121147.14000000,802158864.04645970
1759996800000,2025-10-09 08:00:00,121906.09000000,122833.02000000,121145.49000000,122737.57000000,327913491.37966740
1759982400000,2025-10-09 04:00:00,122038.01000000,122264.00000000,121724.71000000,121906.10000000,177032613.48002480
1759968000000,2025-10-09 00:00:00,123306.01000000,123348.32000000,121475.98000000,122038.01000000,283578287.06055600
1759953600000,2025-10-08 20:00:00,123450.01000000,123737.00000000,122794.40000000,123306.00000000,167308614.46123530
1759939200000,2025-10-08 16:00:00,122189.72000000,124197.25000000,122110.08000000,123450.00000000,468725361.06308990
1759924800000,2025-10-08 12:00:00,122884.14000000,123350.00000000,121649.68000000,122189.72000000,413472933.84703670
1759910400000,2025-10-08 08:00:00,121597.05000000,123200.00000000,121524.01000000,122884.14000000,417698564.08653910
1759896000000,2025-10-08 04:00:00,121374.76000000,121910.24000000,121066.14000000,121597.06000000,324564761.87183740
1759881600000,2025-10-08 00:00:00,121332.96000000,122229.66000000,121200.00000000,121374.75000000,293072607.11187850
1759867200000,2025-10-07 20:00:00,121637.18000000,122292.62000000,121258.08000000,121332.95000000,228341967.90582880
1759852800000,2025-10-07 16:00:00,121846.01000000,122084.14000000,120574.94000000,121637.17000000,695188027.58233990
1759838400000,2025-10-07 12:00:00,124453.37000000,125126.00000000,121172.89000000,121846.01000000,905286859.80157790
1759824000000,2025-10-07 08:00:00,123668.00000000,124509.60000000,123322.90000000,124453.38000000,303046034.76347480
1759809600000,2025-10-07 04:00:00,124329.74000000,124654.47000000,123567.60000000,123667.99000000,304622336.04908810
1759795200000,2025-10-07 00:00:00,124658.54000000,125082.27000000,124101.26000000,124329.74000000,220920573.76823910
1759780800000,2025-10-06 20:00:00,125410.80000000,125534.00000000,124511.15000000,124658.54000000,275094202.45800280
1759766400000,2025-10-06 16:00:00,125000.00000000,126199.63000000,124800.00000000,125410.81000000,592646648.27343420
1759752000000,2025-10-06 12:00:00,124215.00000000,125408.29000000,124178.00000000,125000.00000000,570039253.68215230
1759737600000,2025-10-06 08:00:00,123390.47000000,124531.66000000,123390.46000000,124215.00000000,343203564.65059130
1759723200000,2025-10-06 04:00:00,123839.09000000,124165.56000000,123280.49000000,123390.47000000,273410254.40127530
1759708800000,2025-10-06 00:00:00,123482.32000000,124358.46000000,123084.00000000,123839.09000000,374435028.79986240
1759694400000,2025-10-05 20:00:00,122591.80000000,123548.83000000,122473.62000000,123482.31000000,174010841.67729220
